ds,y
2024-04-10,2332.79
2024-04-11,2373.24
2024-04-12,2343.43
2024-04-15,2382.51
2024-04-16,2382.83
2024-04-17,2360.81
2024-04-18,2378.25
2024-04-19,2390.45
2024-04-22,2326.29
2024-04-23,2321.81
2024-04-24,2315.82
2024-04-25,2331.78
2024-04-26,2337.72
2024-04-29,2334.44
2024-04-30,2285.57
2024-05-01,2317.9
2024-05-02,2303.29
2024-05-03,2301.56
2024-05-06,2323.57
2024-05-07,2313.79
2024-05-08,2308.65
2024-05-09,2345.88
2024-05-10,2360.14
2024-05-13,2336.05
2024-05-14,2357.97
2024-05-15,2386.04
2024-05-16,2376.44
2024-05-17,2414.89
2024-05-20,2425.12
2024-05-21,2421.64
2024-05-22,2378.25
2024-05-23,2328.37
2024-05-24,2333.76
2024-05-27,2350.74
2024-05-28,2360.95
2024-05-29,2338.77
2024-05-30,2343.0
2024-05-31,2326.97
2024-06-03,2350.35
2024-06-04,2327.68
2024-06-05,2354.78
2024-06-06,2375.61
2024-06-07,2292.71
2024-06-10,2310.6
2024-06-11,2316.27
2024-06-12,2322.55
2024-06-13,2303.19
2024-06-14,2332.52
2024-06-17,2318.87
2024-06-18,2328.33
2024-06-19,2327.48
2024-06-20,2359.63
2024-06-21,2320.34
2024-06-24,2332.93
2024-06-25,2319.01
2024-06-26,2297.91
2024-06-27,2327.45
2024-06-28,2325.71
2024-07-01,2331.7
2024-07-02,2329.28
2024-07-03,2356.06
2024-07-04,2356.12
2024-07-05,2391.46
2024-07-08,2358.8
2024-07-09,2363.58
2024-07-10,2371.07
2024-07-11,2414.78
2024-07-12,2411.27
