ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,monthly,monthly_lower,monthly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2021-10-29,1826.8591224433032,1753.9958459972188,1889.9169237675046,1826.8591224433032,1826.8591224433032,-0.0010193170031864275,-0.0010193170031864275,-0.0010193170031864275,-0.004610855621887436,-0.004610855621887436,-0.004610855621887436,-0.003591538618701008,-0.003591538618701008,-0.003591538618701008,0.0,0.0,0.0,1818.4357387881892
2021-11-01,1828.2207645195963,1738.73303768775,1873.5645585753439,1828.2207645195963,1828.2207645195963,-0.0012899177326661023,-0.0012899177326661023,-0.0012899177326661023,-0.01106524820316228,-0.01106524820316228,-0.01106524820316228,-0.009775330470496177,-0.009775330470496177,-0.009775330470496177,0.0,0.0,0.0,1807.991047990012
2021-11-02,1828.6746452116938,1734.5331270970178,1868.9920958333357,1828.6746452116938,1828.6746452116938,-0.0025658556769192456,-0.0025658556769192456,-0.0025658556769192456,-0.014202046188321665,-0.014202046188321665,-0.014202046188321665,-0.011636190511402423,-0.011636190511402423,-0.011636190511402423,0.0,0.0,0.0,1802.7037234369845
2021-11-03,1829.1285259037916,1730.279355954791,1869.7021694532596,1829.1285259037916,1829.1285259037916,-0.0028463191068565452,-0.0028463191068565452,-0.0028463191068565452,-0.016196776262455616,-0.016196776262455616,-0.016196776262455616,-0.013350457155599073,-0.013350457155599073,-0.013350457155599073,0.0,0.0,0.0,1799.5025404144526
2021-11-04,1829.582406595889,1737.1867370339899,1862.333946672792,1829.582406595889,1829.582406595889,-0.001846155374014525,-0.001846155374014525,-0.001846155374014525,-0.01674258932345221,-0.01674258932345221,-0.01674258932345221,-0.014896433949437689,-0.014896433949437689,-0.014896433949437689,0.0,0.0,0.0,1798.9504597288408
2021-11-05,1830.0362872879866,1733.293969172464,1868.1361963538384,1830.0362872879866,1830.0362872879866,-0.00029760566957372627,-0.00029760566957372627,-0.00029760566957372627,-0.016554753926322018,-0.016554753926322018,-0.016554753926322018,-0.01625714825674829,-0.01625714825674829,-0.01625714825674829,0.0,0.0,0.0,1799.7404868756942
2021-11-08,1831.3979293642797,1736.7049944579699,1868.0090698423728,1831.3979293642797,1831.3979293642797,0.00033739788482981204,0.00033739788482981204,0.00033739788482981204,-0.018796507632674216,-0.018796507632674216,-0.018796507632674216,-0.019133905517504025,-0.019133905517504025,-0.019133905517504025,0.0,0.0,0.0,1796.9740442065201
2021-11-09,1831.8518100563772,1724.5617419480855,1860.2553536114501,1831.8518100563772,1831.8518100563772,0.0004229590417018426,0.0004229590417018426,0.0004229590417018426,-0.01926254396798196,-0.01926254396798196,-0.01926254396798196,-0.019685503009683795,-0.019685503009683795,-0.019685503009683795,0.0,0.0,0.0,1796.565684022339
2021-11-10,1832.305690748475,1734.597949942908,1869.5428941356056,1832.305690748475,1832.305690748475,0.0014379160475493005,0.0014379160475493005,0.0014379160475493005,-0.018605231701626035,-0.018605231701626035,-0.018605231701626035,-0.02004314774917533,-0.02004314774917533,-0.02004314774917533,0.0,0.0,0.0,1798.2152188238915
2021-11-11,1832.7595714405725,1735.2804815415423,1865.6093045698306,1832.7595714405725,1832.7595714405725,0.0028281248076795175,0.0028281248076795175,0.0028281248076795175,-0.017391428239070854,-0.017391428239070854,-0.017391428239070854,-0.02021955304675037,-0.02021955304675037,-0.02021955304675037,0.0,0.0,0.0,1800.8852648743937
